0	1	2	3	4	M
1	2	2	1	ALL	5684
1	2	2	2	0	2959
1	2	2	2	1	1020
1	2	2	2	2	2797
1	2	2	2	ALL	6776
1	2	2	ALL	0	7760
1	2	2	ALL	1	4673
1	2	2	ALL	2	6864
1	2	2	ALL	ALL	19297
1	2	ALL	0	0	5400
1	2	ALL	0	1	7082
1	2	ALL	0	2	5164
1	2	ALL	0	ALL	17646
1	2	ALL	1	0	5218
1	2	ALL	1	1	8623
1	2	ALL	1	2	4660
1	2	ALL	1	ALL	18501
1	2	ALL	2	0	7517
1	2	ALL	2	1	6034
1	2	ALL	2	2	5207
1	2	ALL	2	ALL	18758
1	2	ALL	ALL	0	18135
1	2	ALL	ALL	1	21739
1	2	ALL	ALL	2	15031
1	2	ALL	ALL	ALL	54905
1	ALL	0	0	0	6451
1	ALL	0	0	1	8622
1	ALL	0	0	2	6405
1	ALL	0	0	ALL	21478
1	ALL	0	1	0	10435
1	ALL	0	1	1	6596
1	ALL	0	1	2	3397
1	ALL	0	1	ALL	20428
1	ALL	0	2	0	6493
1	ALL	0	2	1	2931
1	ALL	0	2	2	7113
1	ALL	0	2	ALL	16537
1	ALL	0	ALL	0	23379
1	ALL	0	ALL	1	18149
1	ALL	0	ALL	2	16915
1	ALL	0	ALL	ALL	58443
1	ALL	1	0	0	3855
1	ALL	1	0	1	5693
1	ALL	1	0	2	3920
1	ALL	1	0	ALL	13468
1	ALL	1	1	0	2441
1	ALL	1	1	1	7390
1	ALL	1	1	2	5702
1	ALL	1	1	ALL	15533
1	ALL	1	2	0	5752
1	ALL	1	2	1	7369
1	ALL	1	2	2	6871
1	ALL	1	2	ALL	19992
1	ALL	1	ALL	0	12048
1	ALL	1	ALL	1	20452
1	ALL	1	ALL	2	16493
1	ALL	1	ALL	ALL	48993
1	ALL	2	0	0	8465
1	ALL	2	0	1	3666
1	ALL	2	0	2	4394
1	ALL	2	0	ALL	16525
1	ALL	2	1	0	4416
1	ALL	2	1	1	7645
1	ALL	2	1	2	8962
1	ALL	2	1	ALL	21023
1	ALL	2	2	0	6767
1	ALL	2	2	1	4862
1	ALL	2	2	2	10251
1	ALL	2	2	ALL	21880
1	ALL	2	ALL	0	19648
1	ALL	2	ALL	1	16173
1	ALL	2	ALL	2	23607
1	ALL	2	ALL	ALL	59428
1	ALL	ALL	0	0	18771
1	ALL	ALL	0	1	17981
1	ALL	ALL	0	2	14719
1	ALL	ALL	0	ALL	51471
1	ALL	ALL	1	0	17292
1	ALL	ALL	1	1	21631
1	ALL	ALL	1	2	18061
1	ALL	ALL	1	ALL	56984
1	ALL	ALL	2	0	19012
1	ALL	ALL	2	1	15162
1	ALL	ALL	2	2	24235
1	ALL	ALL	2	ALL	58409
1	ALL	ALL	ALL	0	55075
1	ALL	ALL	ALL	1	54774
1	ALL	ALL	ALL	2	57015
1	ALL	ALL	ALL	ALL	166864
2	0	0	0	0	3852
2	0	0	0	1	1926
2	0	0	0	2	1708
2	0	0	0	ALL	7486
2	0	0	1	0	288
2	0	0	1	1	1707
2	0	0	1	2	1879
2	0	0	1	ALL	3874
2	0	0	2	0	2898
2	0	0	2	1	4265
2	0	0	2	2	1158
2	0	0	2	ALL	8321
2	0	0	ALL	0	7038
2	0	0	ALL	1	7898
2	0	0	ALL	2	4745
2	0	0	ALL	ALL	19681
2	0	1	0	0	4853
2	0	1	0	1	2737
2	0	1	0	2	3715
2	0	1	0	ALL	11305
2	0	1	1	0	4651
2	0	1	1	1	919
2	0	1	1	2	2419
2	0	1	1	ALL	7989
2	0	1	2	0	2017
2	0	1	2	1	2358
2	0	1	2	2	4131
2	0	1	2	ALL	8506
2	0	1	ALL	0	11521
2	0	1	ALL	1	6014
2	0	1	ALL	2	10265
2	0	1	ALL	ALL	27800
2	0	2	0	0	1148
2	0	2	0	1	2133
2	0	2	0	2	2610
2	0	2	0	ALL	5891
2	0	2	1	0	690
2	0	2	1	1	55
2	0	2	1	2	1779
2	0	2	1	ALL	2524
2	0	2	2	0	1549
2	0	2	2	1	2084
2	0	2	2	2	2264
2	0	2	2	ALL	5897
2	0	2	ALL	0	3387
2	0	2	ALL	1	4272
2	0	2	ALL	2	6653
2	0	2	ALL	ALL	14312
2	0	ALL	0	0	9853
2	0	ALL	0	1	6796
2	0	ALL	0	2	8033
2	0	ALL	0	ALL	24682
2	0	ALL	1	0	5629
2	0	ALL	1	1	2681
2	0	ALL	1	2	6077
2	0	ALL	1	ALL	14387
2	0	ALL	2	0	6464
2	0	ALL	2	1	8707
2	0	ALL	2	2	7553
2	0	ALL	2	ALL	22724
2	0	ALL	ALL	0	21946
2	0	ALL	ALL	1	18184
2	0	ALL	ALL	2	21663
2	0	ALL	ALL	ALL	61793
2	1	0	0	0	3450
2	1	0	0	1	1503
2	1	0	0	2	1998
2	1	0	0	ALL	6951
2	1	0	1	0	2275
2	1	0	1	1	2673
2	1	0	1	2	1005
2	1	0	1	ALL	5953
2	1	0	2	0	2970
2	1	0	2	1	2353
2	1	0	2	2	3435
2	1	0	2	ALL	8758
2	1	0	ALL	0	8695
2	1	0	ALL	1	6529
2	1	0	ALL	2	6438
2	1	0	ALL	ALL	21662
2	1	1	0	0	736
2	1	1	0	1	3686
2	1	1	0	2	906
2	1	1	0	ALL	5328
2	1	1	1	0	1383
2	1	1	1	1	1741
2	1	1	1	2	1688
2	1	1	1	ALL	4812
2	1	1	2	0	1470
2	1	1	2	1	3157
2	1	1	2	2	1567
2	1	1	2	ALL	6194
2	1	1	ALL	0	3589
2	1	1	ALL	1	8584
2	1	1	ALL	2	4161
2	1	1	ALL	ALL	16334
2	1	2	0	0	2392
2	1	2	0	1	1754
2	1	2	0	2	1917
2	1	2	0	ALL	6063
2	1	2	1	0	1564
2	1	2	1	1	3746
2	1	2	1	2	3350
2	1	2	1	ALL	8660
2	1	2	2	0	745
2	1	2	2	1	1828
2	1	2	2	2	3706
2	1	2	2	ALL	6279
2	1	2	ALL	0	4701
2	1	2	ALL	1	7328
2	1	2	ALL	2	8973
2	1	2	ALL	ALL	21002
2	1	ALL	0	0	6578
2	1	ALL	0	1	6943
2	1	ALL	0	2	4821
2	1	ALL	0	ALL	18342
2	1	ALL	1	0	5222
2	1	ALL	1	1	8160
2	1	ALL	1	2	6043
2	1	ALL	1	ALL	19425
2	1	ALL	2	0	5185
2	1	ALL	2	1	7338
2	1	ALL	2	2	8708
2	1	ALL	2	ALL	21231
2	1	ALL	ALL	0	16985
2	1	ALL	ALL	1	22441
2	1	ALL	ALL	2	19572
2	1	ALL	ALL	ALL	58998
2	2	0	0	0	3076
2	2	0	0	1	1678
2	2	0	0	2	3155
2	2	0	0	ALL	7909
2	2	0	1	0	1261
2	2	0	1	1	3688
2	2	0	1	2	412
2	2	0	1	ALL	5361
2	2	0	2	0	1904
2	2	0	2	1	997
2	2	0	2	2	2223
2	2	0	2	ALL	5124
2	2	0	ALL	0	6241
2	2	0	ALL	1	6363
2	2	0	ALL	2	5790
2	2	0	ALL	ALL	18394
2	2	1	0	0	1448
2	2	1	0	1	1027
2	2	1	0	2	2025
2	2	1	0	ALL	4500
2	2	1	1	0	2046
2	2	1	1	1	965
2	2	1	1	2	2324
2	2	1	1	ALL	5335
2	2	1	2	0	1945
2	2	1	2	2	3378
2	2	1	2	ALL	5323
2	2	1	ALL	0	5439
2	2	1	ALL	1	1992
2	2	1	ALL	2	7727
2	2	1	ALL	ALL	15158
2	2	2	0	0	1433
2	2	2	0	1	2982
2	2	2	0	2	4223
2	2	2	0	ALL	8638
2	2	2	1	0	3209
2	2	2	1	1	1202
2	2	2	1	2	2009
2	2	2	1	ALL	6420
2	2	2	2	0	893
2	2	2	2	1	2594
2	2	2	2	2	1488
2	2	2	2	ALL	4975
2	2	2	ALL	0	5535
2	2	2	ALL	1	6778
2	2	2	ALL	2	7720
2	2	2	ALL	ALL	20033
2	2	ALL	0	0	5957
2	2	ALL	0	1	5687
2	2	ALL	0	2	9403
2	2	ALL	0	ALL	21047
2	2	ALL	1	0	6516
2	2	ALL	1	1	5855
2	2	ALL	1	2	4745
2	2	ALL	1	ALL	17116
2	2	ALL	2	0	4742
2	2	ALL	2	1	3591
2	2	ALL	2	2	7089
2	2	ALL	2	ALL	15422
2	2	ALL	ALL	0	17215
2	2	ALL	ALL	1	15133
2	2	ALL	ALL	2	21237
2	2	ALL	ALL	ALL	53585
2	ALL	0	0	0	10378
2	ALL	0	0	1	5107
2	ALL	0	0	2	6861
2	ALL	0	0	ALL	22346
2	ALL	0	1	0	3824
2	ALL	0	1	1	8068
2	ALL	0	1	2	3296
2	ALL	0	1	ALL	15188
2	ALL	0	2	0	7772
2	ALL	0	2	1	7615
2	ALL	0	2	2	6816
2	ALL	0	2	ALL	22203
2	ALL	0	ALL	0	21974
2	ALL	0	ALL	1	20790
2	ALL	0	ALL	2	16973
2	ALL	0	ALL	ALL	59737
2	ALL	1	0	0	7037
2	ALL	1	0	1	7450
2	ALL	1	0	2	6646
2	ALL	1	0	ALL	21133
2	ALL	1	1	0	8080
2	ALL	1	1	1	3625
2	ALL	1	1	2	6431
2	ALL	1	1	ALL	18136
2	ALL	1	2	0	5432
2	ALL	1	2	1	5515
2	ALL	1	2	2	9076
2	ALL	1	2	ALL	20023
2	ALL	1	ALL	0	20549
2	ALL	1	ALL	1	16590
2	ALL	1	ALL	2	22153
2	ALL	1	ALL	ALL	59292
2	ALL	2	0	0	4973
2	ALL	2	0	1	6869
2	ALL	2	0	2	8750
2	ALL	2	0	ALL	20592
2	ALL	2	1	0	5463
2	ALL	2	1	1	5003
2	ALL	2	1	2	7138
2	ALL	2	1	ALL	17604
2	ALL	2	2	0	3187
2	ALL	2	2	1	6506
2	ALL	2	2	2	7458
2	ALL	2	2	ALL	17151
2	ALL	2	ALL	0	13623
2	ALL	2	ALL	1	18378
2	ALL	2	ALL	2	23346
2	ALL	2	ALL	ALL	55347
2	ALL	ALL	0	0	22388
2	ALL	ALL	0	1	19426
2	ALL	ALL	0	2	22257
2	ALL	ALL	0	ALL	64071
2	ALL	ALL	1	0	17367
2	ALL	ALL	1	1	16696
2	ALL	ALL	1	2	16865
2	ALL	ALL	1	ALL	50928
2	ALL	ALL	2	0	16391
2	ALL	ALL	2	1	19636
2	ALL	ALL	2	2	23350
2	ALL	ALL	2	ALL	59377
2	ALL	ALL	ALL	0	56146
2	ALL	ALL	ALL	1	55758
2	ALL	ALL	ALL	2	62472
2	ALL	ALL	ALL	ALL	174376
ALL	0	0	0	0	9811
ALL	0	0	0	1	6343
ALL	0	0	0	2	4763
ALL	0	0	0	ALL	20917
ALL	0	0	1	0	6458
ALL	0	0	1	1	8627
ALL	0	0	1	2	3869
ALL	0	0	1	ALL	18954
ALL	0	0	2	0	6050
ALL	0	0	2	1	5199
ALL	0	0	2	2	5171
ALL	0	0	2	ALL	16420
ALL	0	0	ALL	0	22319
ALL	0	0	ALL	1	20169
ALL	0	0	ALL	2	13803
ALL	0	0	ALL	ALL	56291
ALL	0	1	0	0	8384
ALL	0	1	0	1	7279
ALL	0	1	0	2	7696
ALL	0	1	0	ALL	23359
ALL	0	1	1	0	9846
ALL	0	1	1	1	2683
ALL	0	1	1	2	6529
ALL	0	1	1	ALL	19058
ALL	0	1	2	0	4150
ALL	0	1	2	1	7187
ALL	0	1	2	2	7984
ALL	0	1	2	ALL	19321
ALL	0	1	ALL	0	22380
ALL	0	1	ALL	1	17149
ALL	0	1	ALL	2	22209
ALL	0	1	ALL	ALL	61738
ALL	0	2	0	0	5983
ALL	0	2	0	1	4973
ALL	0	2	0	2	6455
ALL	0	2	0	ALL	17411
ALL	0	2	1	0	4389
ALL	0	2	1	1	7540
ALL	0	2	1	2	5848
ALL	0	2	1	ALL	17777
ALL	0	2	2	0	6959
ALL	0	2	2	1	8177
ALL	0	2	2	2	9169
ALL	0	2	2	ALL	24305
ALL	0	2	ALL	0	17331
ALL	0	2	ALL	1	20690
ALL	0	2	ALL	2	21472
ALL	0	2	ALL	ALL	59493
ALL	0	ALL	0	0	24178
ALL	0	ALL	0	1	18595
ALL	0	ALL	0	2	18914
ALL	0	ALL	0	ALL	61687
ALL	0	ALL	1	0	20693
ALL	0	ALL	1	1	18850
ALL	0	ALL	1	2	16246
ALL	0	ALL	1	ALL	55789
ALL	0	ALL	2	0	17159
ALL	0	ALL	2	1	20563
ALL	0	ALL	2	2	22324
ALL	0	ALL	2	ALL	60046
ALL	0	ALL	ALL	0	62030
ALL	0	ALL	ALL	1	58008
ALL	0	ALL	ALL	2	57484
ALL	0	ALL	ALL	ALL	177522
ALL	1	0	0	0	8643
ALL	1	0	0	1	7176
ALL	1	0	0	2	6585
ALL	1	0	0	ALL	22404
ALL	1	0	1	0	5724
ALL	1	0	1	1	6498
ALL	1	0	1	2	4148
ALL	1	0	1	ALL	16370
ALL	1	0	2	0	8430
ALL	1	0	2	1	6309
ALL	1	0	2	2	11392
ALL	1	0	2	ALL	26131
ALL	1	0	ALL	0	22797
ALL	1	0	ALL	1	19983
ALL	1	0	ALL	2	22125
ALL	1	0	ALL	ALL	64905
ALL	1	1	0	0	3610
ALL	1	1	0	1	5529
ALL	1	1	0	2	2334
ALL	1	1	0	ALL	11473
ALL	1	1	1	0	5209
ALL	1	1	1	1	8025
ALL	1	1	1	2	6020
ALL	1	1	1	ALL	19254
ALL	1	1	2	0	5258
ALL	1	1	2	1	6360
ALL	1	1	2	2	5862
ALL	1	1	2	ALL	17480
ALL	1	1	ALL	0	14077
ALL	1	1	ALL	1	19914
ALL	1	1	ALL	2	14216
ALL	1	1	ALL	ALL	48207
ALL	1	2	0	0	6995
ALL	1	2	0	1	7122
ALL	1	2	0	2	6054
ALL	1	2	0	ALL	20171
ALL	1	2	1	0	4079
ALL	1	2	1	1	6168
ALL	1	2	1	2	9639
ALL	1	2	1	ALL	19886
ALL	1	2	2	0	3963
ALL	1	2	2	1	6883
ALL	1	2	2	2	10655
ALL	1	2	2	ALL	21501
ALL	1	2	ALL	0	15037
ALL	1	2	ALL	1	20173
ALL	1	2	ALL	2	26348
ALL	1	2	ALL	ALL	61558
ALL	1	ALL	0	0	19248
ALL	1	ALL	0	1	19827
ALL	1	ALL	0	2	14973
ALL	1	ALL	0	ALL	54048
ALL	1	ALL	1	0	15012
ALL	1	ALL	1	1	20691
ALL	1	ALL	1	2	19807
ALL	1	ALL	1	ALL	55510
ALL	1	ALL	2	0	17651
ALL	1	ALL	2	1	19552
ALL	1	ALL	2	2	27909
ALL	1	ALL	2	ALL	65112
ALL	1	ALL	ALL	0	51911
ALL	1	ALL	ALL	1	60070
ALL	1	ALL	ALL	2	62689
ALL	1	ALL	ALL	ALL	174670
ALL	2	0	0	0	7580
ALL	2	0	0	1	5511
ALL	2	0	0	2	8154
ALL	2	0	0	ALL	21245
ALL	2	0	1	0	7559
ALL	2	0	1	1	6784
ALL	2	0	1	2	3360
ALL	2	0	1	ALL	17703
ALL	2	0	2	0	5550
ALL	2	0	2	1	6086
ALL	2	0	2	2	4156
ALL	2	0	2	ALL	15792
ALL	2	0	ALL	0	20689
ALL	2	0	ALL	1	18381
ALL	2	0	ALL	2	15670
ALL	2	0	ALL	ALL	54740
ALL	2	1	0	0	4019
ALL	2	1	0	1	4490
ALL	2	1	0	2	4703
ALL	2	1	0	ALL	13212
ALL	2	1	1	0	4526
ALL	2	1	1	1	8138
ALL	2	1	1	2	4713
ALL	2	1	1	ALL	17377
ALL	2	1	2	0	6114
ALL	2	1	2	1	3191
ALL	2	1	2	2	4712
ALL	2	1	2	ALL	14017
