0	1	2	3	4	5	M
0	1	0	2	2	0	1104
0	1	0	2	2	1	2343
0	1	0	2	2	2	1249
0	1	0	2	2	ALL	4696
0	1	0	2	ALL	0	4006
0	1	0	2	ALL	1	6946
0	1	0	2	ALL	2	3463
0	1	0	2	ALL	ALL	14415
0	1	0	ALL	0	0	3078
0	1	0	ALL	0	1	7084
0	1	0	ALL	0	2	2549
0	1	0	ALL	0	ALL	12711
0	1	0	ALL	1	0	2150
0	1	0	ALL	1	1	3705
0	1	0	ALL	1	2	4432
0	1	0	ALL	1	ALL	10287
0	1	0	ALL	2	0	3152
0	1	0	ALL	2	1	5775
0	1	0	ALL	2	2	5016
0	1	0	ALL	2	ALL	13943
0	1	0	ALL	ALL	0	8380
0	1	0	ALL	ALL	1	16564
0	1	0	ALL	ALL	2	11997
0	1	0	ALL	ALL	ALL	36941
0	1	1	0	0	0	3533
0	1	1	0	0	1	94
0	1	1	0	0	2	2691
0	1	1	0	0	ALL	6318
0	1	1	0	1	0	2758
0	1	1	0	1	1	1066
0	1	1	0	1	2	1463
0	1	1	0	1	ALL	5287
0	1	1	0	2	0	989
0	1	1	0	2	1	2302
0	1	1	0	2	2	1102
0	1	1	0	2	ALL	4393
0	1	1	0	ALL	0	7280
0	1	1	0	ALL	1	3462
0	1	1	0	ALL	2	5256
0	1	1	0	ALL	ALL	15998
0	1	1	1	0	0	3864
0	1	1	1	0	1	698
0	1	1	1	0	2	708
0	1	1	1	0	ALL	5270
0	1	1	1	1	0	959
0	1	1	1	1	1	133
0	1	1	1	1	2	770
0	1	1	1	1	ALL	1862
0	1	1	1	2	0	1623
0	1	1	1	2	2	1606
0	1	1	1	2	ALL	3229
0	1	1	1	ALL	0	6446
0	1	1	1	ALL	1	831
0	1	1	1	ALL	2	3084
0	1	1	1	ALL	ALL	10361
0	1	1	2	0	1	2017
0	1	1	2	0	2	669
0	1	1	2	0	ALL	2686
0	1	1	2	1	0	1233
0	1	1	2	1	1	3082
0	1	1	2	1	2	1062
0	1	1	2	1	ALL	5377
0	1	1	2	2	1	1782
0	1	1	2	2	2	2379
0	1	1	2	2	ALL	4161
0	1	1	2	ALL	0	1233
0	1	1	2	ALL	1	6881
0	1	1	2	ALL	2	4110
0	1	1	2	ALL	ALL	12224
0	1	1	ALL	0	0	7397
0	1	1	ALL	0	1	2809
0	1	1	ALL	0	2	4068
0	1	1	ALL	0	ALL	14274
0	1	1	ALL	1	0	4950
0	1	1	ALL	1	1	4281
0	1	1	ALL	1	2	3295
0	1	1	ALL	1	ALL	12526
0	1	1	ALL	2	0	2612
0	1	1	ALL	2	1	4084
0	1	1	ALL	2	2	5087
0	1	1	ALL	2	ALL	11783
0	1	1	ALL	ALL	0	14959
0	1	1	ALL	ALL	1	11174
0	1	1	ALL	ALL	2	12450
0	1	1	ALL	ALL	ALL	38583
0	1	2	0	0	0	916
0	1	2	0	0	1	1569
0	1	2	0	0	ALL	2485
0	1	2	0	1	0	1069
0	1	2	0	1	1	2078
0	1	2	0	1	2	790
0	1	2	0	1	ALL	3937
0	1	2	0	2	0	887
0	1	2	0	2	1	609
0	1	2	0	2	2	1761
0	1	2	0	2	ALL	3257
0	1	2	0	ALL	0	2872
0	1	2	0	ALL	1	4256
0	1	2	0	ALL	2	2551
0	1	2	0	ALL	ALL	9679
0	1	2	1	0	0	4535
0	1	2	1	0	1	899
0	1	2	1	0	2	504
0	1	2	1	0	ALL	5938
0	1	2	1	1	0	894
0	1	2	1	1	1	2367
0	1	2	1	1	2	1075
0	1	2	1	1	ALL	4336
0	1	2	1	2	0	2540
0	1	2	1	2	1	864
0	1	2	1	2	2	1495
0	1	2	1	2	ALL	4899
0	1	2	1	ALL	0	7969
0	1	2	1	ALL	1	4130
0	1	2	1	ALL	2	3074
0	1	2	1	ALL	ALL	15173
0	1	2	2	0	1	999
0	1	2	2	0	2	168
0	1	2	2	0	ALL	1167
0	1	2	2	1	0	1280
0	1	2	2	1	1	1892
0	1	2	2	1	2	993
0	1	2	2	1	ALL	4165
0	1	2	2	2	0	1064
0	1	2	2	2	1	1776
0	1	2	2	2	2	562
0	1	2	2	2	ALL	3402
0	1	2	2	ALL	0	2344
0	1	2	2	ALL	1	4667
0	1	2	2	ALL	2	1723
0	1	2	2	ALL	ALL	8734
0	1	2	ALL	0	0	5451
0	1	2	ALL	0	1	3467
0	1	2	ALL	0	2	672
0	1	2	ALL	0	ALL	9590
0	1	2	ALL	1	0	3243
0	1	2	ALL	1	1	6337
0	1	2	ALL	1	2	2858
0	1	2	ALL	1	ALL	12438
0	1	2	ALL	2	0	4491
0	1	2	ALL	2	1	3249
0	1	2	ALL	2	2	3818
0	1	2	ALL	2	ALL	11558
0	1	2	ALL	ALL	0	13185
0	1	2	ALL	ALL	1	13053
0	1	2	ALL	ALL	2	7348
0	1	2	ALL	ALL	ALL	33586
0	1	ALL	0	0	0	5767
0	1	ALL	0	0	1	3087
0	1	ALL	0	0	2	4553
0	1	ALL	0	0	ALL	13407
0	1	ALL	0	1	0	3906
0	1	ALL	0	1	1	3611
0	1	ALL	0	1	2	3162
0	1	ALL	0	1	ALL	10679
0	1	ALL	0	2	0	2632
0	1	ALL	0	2	1	5881
0	1	ALL	0	2	2	4666
0	1	ALL	0	2	ALL	13179
0	1	ALL	0	ALL	0	12305
0	1	ALL	0	ALL	1	12579
0	1	ALL	0	ALL	2	12381
0	1	ALL	0	ALL	ALL	37265
0	1	ALL	1	0	0	9328
0	1	ALL	1	0	1	3893
0	1	ALL	1	0	2	1707
0	1	ALL	1	0	ALL	14928
0	1	ALL	1	1	0	1853
0	1	ALL	1	1	1	4499
0	1	ALL	1	1	2	3346
0	1	ALL	1	1	ALL	9698
0	1	ALL	1	2	0	5455
0	1	ALL	1	2	1	1326
0	1	ALL	1	2	2	5065
0	1	ALL	1	2	ALL	11846
0	1	ALL	1	ALL	0	16636
0	1	ALL	1	ALL	1	9718
0	1	ALL	1	ALL	2	10118
0	1	ALL	1	ALL	ALL	36472
0	1	ALL	2	0	0	831
0	1	ALL	2	0	1	6380
0	1	ALL	2	0	2	1029
0	1	ALL	2	0	ALL	8240
0	1	ALL	2	1	0	4584
0	1	ALL	2	1	1	6213
0	1	ALL	2	1	2	4077
0	1	ALL	2	1	ALL	14874
0	1	ALL	2	2	0	2168
0	1	ALL	2	2	1	5901
0	1	ALL	2	2	2	4190
0	1	ALL	2	2	ALL	12259
0	1	ALL	2	ALL	0	7583
0	1	ALL	2	ALL	1	18494
0	1	ALL	2	ALL	2	9296
0	1	ALL	2	ALL	ALL	35373
0	1	ALL	ALL	0	0	15926
0	1	ALL	ALL	0	1	13360
0	1	ALL	ALL	0	2	7289
0	1	ALL	ALL	0	ALL	36575
0	1	ALL	ALL	1	0	10343
0	1	ALL	ALL	1	1	14323
0	1	ALL	ALL	1	2	10585
0	1	ALL	ALL	1	ALL	35251
0	1	ALL	ALL	2	0	10255
0	1	ALL	ALL	2	1	13108
0	1	ALL	ALL	2	2	13921
0	1	ALL	ALL	2	ALL	37284
0	1	ALL	ALL	ALL	0	36524
0	1	ALL	ALL	ALL	1	40791
0	1	ALL	ALL	ALL	2	31795
0	1	ALL	ALL	ALL	ALL	109110
0	2	0	0	0	0	1602
0	2	0	0	0	1	1469
0	2	0	0	0	2	1769
0	2	0	0	0	ALL	4840
0	2	0	0	1	0	842
0	2	0	0	1	1	1523
0	2	0	0	1	2	2209
0	2	0	0	1	ALL	4574
0	2	0	0	2	0	1076
0	2	0	0	2	1	1613
0	2	0	0	2	2	1273
0	2	0	0	2	ALL	3962
0	2	0	0	ALL	0	3520
0	2	0	0	ALL	1	4605
0	2	0	0	ALL	2	5251
0	2	0	0	ALL	ALL	13376
0	2	0	1	0	0	1983
0	2	0	1	0	1	1885
0	2	0	1	0	2	1863
0	2	0	1	0	ALL	5731
0	2	0	1	1	0	961
0	2	0	1	1	1	640
0	2	0	1	1	2	2443
0	2	0	1	1	ALL	4044
0	2	0	1	2	0	428
0	2	0	1	2	1	1316
0	2	0	1	2	2	1013
0	2	0	1	2	ALL	2757
0	2	0	1	ALL	0	3372
0	2	0	1	ALL	1	3841
0	2	0	1	ALL	2	5319
0	2	0	1	ALL	ALL	12532
0	2	0	2	0	0	1991
0	2	0	2	0	1	1633
0	2	0	2	0	2	205
0	2	0	2	0	ALL	3829
0	2	0	2	1	0	336
0	2	0	2	1	1	847
0	2	0	2	1	2	498
0	2	0	2	1	ALL	1681
0	2	0	2	2	1	2797
0	2	0	2	2	ALL	2797
0	2	0	2	ALL	0	2327
0	2	0	2	ALL	1	5277
0	2	0	2	ALL	2	703
0	2	0	2	ALL	ALL	8307
0	2	0	ALL	0	0	5576
0	2	0	ALL	0	1	4987
0	2	0	ALL	0	2	3837
0	2	0	ALL	0	ALL	14400
0	2	0	ALL	1	0	2139
0	2	0	ALL	1	1	3010
0	2	0	ALL	1	2	5150
0	2	0	ALL	1	ALL	10299
0	2	0	ALL	2	0	1504
0	2	0	ALL	2	1	5726
0	2	0	ALL	2	2	2286
0	2	0	ALL	2	ALL	9516
0	2	0	ALL	ALL	0	9219
0	2	0	ALL	ALL	1	13723
0	2	0	ALL	ALL	2	11273
0	2	0	ALL	ALL	ALL	34215
0	2	1	0	0	0	70
0	2	1	0	0	1	1286
0	2	1	0	0	2	3361
0	2	1	0	0	ALL	4717
0	2	1	0	1	0	822
0	2	1	0	1	2	1104
0	2	1	0	1	ALL	1926
0	2	1	0	2	0	203
0	2	1	0	2	1	1672
0	2	1	0	2	2	1208
0	2	1	0	2	ALL	3083
0	2	1	0	ALL	0	1095
0	2	1	0	ALL	1	2958
0	2	1	0	ALL	2	5673
0	2	1	0	ALL	ALL	9726
0	2	1	1	0	0	2074
0	2	1	1	0	1	787
0	2	1	1	0	2	644
0	2	1	1	0	ALL	3505
0	2	1	1	1	0	1974
0	2	1	1	1	1	1922
0	2	1	1	1	2	1056
0	2	1	1	1	ALL	4952
0	2	1	1	2	0	350
0	2	1	1	2	1	1142
0	2	1	1	2	ALL	1492
0	2	1	1	ALL	0	4398
0	2	1	1	ALL	1	3851
0	2	1	1	ALL	2	1700
0	2	1	1	ALL	ALL	9949
0	2	1	2	0	0	1157
0	2	1	2	0	1	966
0	2	1	2	0	2	1980
0	2	1	2	0	ALL	4103
0	2	1	2	1	0	1308
0	2	1	2	1	1	393
0	2	1	2	1	2	650
0	2	1	2	1	ALL	2351
0	2	1	2	2	0	19
0	2	1	2	2	1	925
0	2	1	2	2	2	1620
0	2	1	2	2	ALL	2564
0	2	1	2	ALL	0	2484
0	2	1	2	ALL	1	2284
0	2	1	2	ALL	2	4250
0	2	1	2	ALL	ALL	9018
0	2	1	ALL	0	0	3301
0	2	1	ALL	0	1	3039
0	2	1	ALL	0	2	5985
0	2	1	ALL	0	ALL	12325
0	2	1	ALL	1	0	4104
0	2	1	ALL	1	1	2315
0	2	1	ALL	1	2	2810
0	2	1	ALL	1	ALL	9229
0	2	1	ALL	2	0	572
0	2	1	ALL	2	1	3739
0	2	1	ALL	2	2	2828
0	2	1	ALL	2	ALL	7139
0	2	1	ALL	ALL	0	7977
0	2	1	ALL	ALL	1	9093
0	2	1	ALL	ALL	2	11623
0	2	1	ALL	ALL	ALL	28693
0	2	2	0	0	0	1085
0	2	2	0	0	1	1449
0	2	2	0	0	2	2054
0	2	2	0	0	ALL	4588
0	2	2	0	1	0	589
0	2	2	0	1	1	934
0	2	2	0	1	2	325
0	2	2	0	1	ALL	1848
0	2	2	0	2	0	1567
0	2	2	0	2	1	190
0	2	2	0	2	2	1292
0	2	2	0	2	ALL	3049
0	2	2	0	ALL	0	3241
0	2	2	0	ALL	1	2573
0	2	2	0	ALL	2	3671
0	2	2	0	ALL	ALL	9485
0	2	2	1	0	0	883
0	2	2	1	0	1	1630
0	2	2	1	0	2	1542
0	2	2	1	0	ALL	4055
0	2	2	1	1	0	1638
0	2	2	1	1	1	1338
0	2	2	1	1	2	2775
0	2	2	1	1	ALL	5751
0	2	2	1	2	0	328
0	2	2	1	2	1	2619
0	2	2	1	2	2	1734
0	2	2	1	2	ALL	4681
0	2	2	1	ALL	0	2849
0	2	2	1	ALL	1	5587
0	2	2	1	ALL	2	6051
0	2	2	1	ALL	ALL	14487
0	2	2	2	0	0	1147
0	2	2	2	0	1	911
0	2	2	2	0	2	692
0	2	2	2	0	ALL	2750
0	2	2	2	1	0	1250
0	2	2	2	1	1	475
0	2	2	2	1	2	2456
0	2	2	2	1	ALL	4181
0	2	2	2	2	0	564
0	2	2	2	2	1	194
0	2	2	2	2	2	1460
0	2	2	2	2	ALL	2218
0	2	2	2	ALL	0	2961
0	2	2	2	ALL	1	1580
0	2	2	2	ALL	2	4608
0	2	2	2	ALL	ALL	9149
0	2	2	ALL	0	0	3115
0	2	2	ALL	0	1	3990
0	2	2	ALL	0	2	4288
0	2	2	ALL	0	ALL	11393
0	2	2	ALL	1	0	3477
0	2	2	ALL	1	1	2747
0	2	2	ALL	1	2	5556
0	2	2	ALL	1	ALL	11780
0	2	2	ALL	2	0	2459
0	2	2	ALL	2	1	3003
0	2	2	ALL	2	2	4486
0	2	2	ALL	2	ALL	9948
0	2	2	ALL	ALL	0	9051
0	2	2	ALL	ALL	1	9740
0	2	2	ALL	ALL	2	14330
0	2	2	ALL	ALL	ALL	33121
0	2	ALL	0	0	0	2757
0	2	ALL	0	0	1	4204
0	2	ALL	0	0	2	7184
0	2	ALL	0	0	ALL	14145
0	2	ALL	0	1	0	2253
0	2	ALL	0	1	1	2457
0	2	ALL	0	1	2	3638
0	2	ALL	0	1	ALL	8348
0	2	ALL	0	2	0	2846
0	2	ALL	0	2	1	3475
0	2	ALL	0	2	2	3773
0	2	ALL	0	2	ALL	10094
0	2	ALL	0	ALL	0	7856
0	2	ALL	0	ALL	1	10136
0	2	ALL	0	ALL	2	14595
0	2	ALL	0	ALL	ALL	32587
0	2	ALL	1	0	0	4940
0	2	ALL	1	0	1	4302
0	2	ALL	1	0	2	4049
0	2	ALL	1	0	ALL	13291
0	2	ALL	1	1	0	4573
0	2	ALL	1	1	1	3900
0	2	ALL	1	1	2	6274
0	2	ALL	1	1	ALL	14747
0	2	ALL	1	2	0	1106
0	2	ALL	1	2	1	5077
0	2	ALL	1	2	2	2747
0	2	ALL	1	2	ALL	8930
0	2	ALL	1	ALL	0	10619
0	2	ALL	1	ALL	1	13279
0	2	ALL	1	ALL	2	13070
0	2	ALL	1	ALL	ALL	36968
0	2	ALL	2	0	0	4295
0	2	ALL	2	0	1	3510
0	2	ALL	2	0	2	2877
0	2	ALL	2	0	ALL	10682
0	2	ALL	2	1	0	2894
0	2	ALL	2	1	1	1715
0	2	ALL	2	1	2	3604
0	2	ALL	2	1	ALL	8213
0	2	ALL	2	2	0	583
0	2	ALL	2	2	1	3916
0	2	ALL	2	2	2	3080
0	2	ALL	2	2	ALL	7579
0	2	ALL	2	ALL	0	7772
0	2	ALL	2	ALL	1	9141
0	2	ALL	2	ALL	2	9561
0	2	ALL	2	ALL	ALL	26474
0	2	ALL	ALL	0	0	11992
0	2	ALL	ALL	0	1	12016
0	2	ALL	ALL	0	2	14110
0	2	ALL	ALL	0	ALL	38118
0	2	ALL	ALL	1	0	9720
0	2	ALL	ALL	1	1	8072
0	2	ALL	ALL	1	2	13516
0	2	ALL	ALL	1	ALL	31308
0	2	ALL	ALL	2	0	4535
0	2	ALL	ALL	2	1	12468
0	2	ALL	ALL	2	2	9600
0	2	ALL	ALL	2	ALL	26603
0	2	ALL	ALL	ALL	0	26247
0	2	ALL	ALL	ALL	1	32556
0	2	ALL	ALL	ALL	2	37226
0	2	ALL	ALL	ALL	ALL	96029
0	ALL	0	0	0	0	4867
0	ALL	0	0	0	1	4149
0	ALL	0	0	0	2	6078
0	ALL	0	0	0	ALL	15094
0	ALL	0	0	1	0	1788
0	ALL	0	0	1	1	4113
0	ALL	0	0	1	2	5028
0	ALL	0	0	1	ALL	10929
0	ALL	0	0	2	0	1832
0	ALL	0	0	2	1	5835
0	ALL	0	0	2	2	3390
0	ALL	0	0	2	ALL	11057
0	ALL	0	0	ALL	0	8487
0	ALL	0	0	ALL	1	14097
0	ALL	0	0	ALL	2	14496
0	ALL	0	0	ALL	ALL	37080
0	ALL	0	1	0	0	4915
0	ALL	0	1	0	1	6497
0	ALL	0	1	0	2	4271
0	ALL	0	1	0	ALL	15683
0	ALL	0	1	1	0	961
0	ALL	0	1	1	1	4383
0	ALL	0	1	1	2	4962
0	ALL	0	1	1	ALL	10306
0	ALL	0	1	2	0	2473
0	ALL	0	1	2	1	2379
0	ALL	0	1	2	2	3258
0	ALL	0	1	2	ALL	8110
0	ALL	0	1	ALL	0	8349
0	ALL	0	1	ALL	1	13259
0	ALL	0	1	ALL	2	12491
0	ALL	0	1	ALL	ALL	34099
0	ALL	0	2	0	0	4083
0	ALL	0	2	0	1	7925
0	ALL	0	2	0	2	397
0	ALL	0	2	0	ALL	12405
0	ALL	0	2	1	0	2483
0	ALL	0	2	1	1	3934
0	ALL	0	2	1	2	3318
0	ALL	0	2	1	ALL	9735
0	ALL	0	2	2	0	2193
0	ALL	0	2	2	1	5895
0	ALL	0	2	2	2	2770
0	ALL	0	2	2	ALL	10858
0	ALL	0	2	ALL	0	8759
0	ALL	0	2	ALL	1	17754
0	ALL	0	2	ALL	2	6485
0	ALL	0	2	ALL	ALL	32998
0	ALL	0	ALL	0	0	13865
0	ALL	0	ALL	0	1	18571
0	ALL	0	ALL	0	2	10746
0	ALL	0	ALL	0	ALL	43182
0	ALL	0	ALL	1	0	5232
0	ALL	0	ALL	1	1	12430
0	ALL	0	ALL	1	2	13308
0	ALL	0	ALL	1	ALL	30970
0	ALL	0	ALL	2	0	6498
0	ALL	0	ALL	2	1	14109
0	ALL	0	ALL	2	2	9418
0	ALL	0	ALL	2	ALL	30025
0	ALL	0	ALL	ALL	0	25595
0	ALL	0	ALL	ALL	1	45110
0	ALL	0	ALL	ALL	2	33472
0	ALL	0	ALL	ALL	ALL	104177
0	ALL	1	0	0	0	4890
0	ALL	1	0	0	1	2319
0	ALL	1	0	0	2	6052
0	ALL	1	0	0	ALL	13261
